            time  pm2_5
2026-06-12T00:00   23.7
2026-06-12T01:00   23.5
2026-06-12T02:00   24.0
2026-06-12T03:00   22.6
2026-06-12T04:00   19.4
2026-06-12T05:00   18.5
2026-06-12T06:00   17.9
2026-06-12T07:00   18.5
2026-06-12T08:00   19.7
2026-06-12T09:00   21.7
2026-06-12T10:00   23.4
2026-06-12T11:00   23.9
2026-06-12T12:00   23.5
2026-06-12T13:00   23.6
2026-06-12T14:00   23.3
2026-06-12T15:00   23.2
2026-06-12T16:00   23.3
2026-06-12T17:00   22.9
2026-06-12T18:00   26.5
2026-06-12T19:00   35.3
2026-06-12T20:00   39.8
2026-06-12T21:00   38.1
2026-06-12T22:00   35.4
2026-06-12T23:00   31.7
